value,coin00,coin01,coin02,coin03,coin04
3,10,6,12,8,8
5,11,10,15,6,8
8,6,3,11,4,13
3,13,8,13,10,13
4,11,7,11,12,5
3,7,3,10,6,6
3,7,5,15,7,13
8,9,3,13,8,13
5,7,8,7,12,6
3,11,7,7,12,10
7,9,10,10,12,8
7,11,6,9,8,15
3,12,8,7,7,12
7,13,5,12,5,6
6,10,4,15,10,10
3,8,6,16,7,7
5,13,7,16,10,13
6,12,10,14,9,13
3,9,8,10,5,6
5,10,4,10,9,13
8,11,10,16,11,7
3,12,9,12,7,7
7,5,5,9,6,15
8,7,4,6,12,15
3,4,8,10,8,15
3,9,4,12,8,12
7,9,3,9,4,16
3,12,8,10,9,16
8,7,3,6,5,6
4,10,9,8,10,6
3,7,12,9,9,11
8,12,16,4,9,9
7,11,11,8,10,8
3,12,8,6,9,4
8,5,7,10,7,8
6,4,11,12,6,11
3,4,15,7,7,7
4,3,12,6,7,8
7,3,12,11,12,5
3,8,12,8,11,11
4,9,12,10,5,6
8,13,10,10,8,11
3,11,16,16,4,10
4,14,15,15,10,15
7,11,7,16,6,12
3,12,16,8,7,15
3,6,11,6,7,5
4,9,16,6,7,6
3,9,11,9,7,16
8,7,9,10,7,13
4,3,10,10,8,16
3,7,13,11,9,17
4,3,17,10,8,11
8,12,12,10,9,15
3,12,9,5,10,13
5,14,9,4,6,17
8,11,13,8,7,10
3,10,12,5,8,11
4,14,15,7,5,12
10,11,12,6,7,11
13,12,13,9,6,13
11,9,11,8,10,11
15,11,9,4,9,8
8,16,16,8,11,14
11,9,15,9,7,10
12,16,14,11,10,14
13,16,12,8,6,14
15,14,13,5,7,13
10,10,9,7,9,14
10,9,11,6,7,11
13,11,9,6,11,10
7,11,12,7,14,11
13,16,15,6,7,14
9,15,13,10,8,10
10,12,16,7,13,10
8,12,14,10,12,10
9,10,12,8,10,9
10,11,16,11,9,10
10,9,9,8,11,14
8,13,10,11,12,9
7,16,9,4,9,12
7,9,11,12,10,10
15,14,16,7,11,14
11,11,12,11,11,12
11,13,9,6,9,9
13,12,12,11,8,8
14,9,17,9,11,8
8,14,14,4,14,13
12,13,8,7,12,8
10,16,12,4,8,10
9,9,17,9,8,13
7,18,10,4,12,13
7,18,17,7,7,11
9,11,13,9,7,13
7,15,14,11,14,10
13,8,8,10,12,9
12,8,10,12,8,9
13,13,8,9,13,12
14,8,13,5,8,12
12,18,9,9,11,14
14,9,7,6,10,13
7,15,9,8,9,13
9,13,10,9,8,12
9,11,10,10,9,8
11,12,14,7,10,11
11,11,12,11,13,12
9,11,9,10,14,12
9,18,12,12,7,12
15,14,10,8,19,12
9,13,9,11,9,6
8,8,10,6,26,12
9,18,9,6,29,9
13,12,15,8,8,6
14,8,12,8,24,12
12,17,15,12,10,12
7,12,8,7,21,8
8,18,12,8,10,7
8,8,14,12,28,7
9,9,11,17,29,8
13,15,8,17,23,12
7,14,10,17,10,6
14,16,11,13,9,6
8,8,15,16,22,6
10,17,14,14,12,10
12,18,8,13,14,12
12,16,10,10,10,9
4,18,11,17,7,12
7,14,9,11,10,6
3,10,10,16,11,8
9,18,15,10,12,11
4,14,12,16,9,10
10,9,8,13,13,6
9,14,12,16,14,11
3,14,12,9,8,10
6,8,12,15,14,11
9,16,14,11,8,11
3,18,13,16,11,9
2,10,13,27,12,10
6,11,11,17,10,12
2,18,11,18,14,12
5,13,13,18,7,7
9,9,8,21,11,10
10,10,10,11,10,7
4,8,15,16,10,9
8,10,15,10,8,10
8,11,13,13,10,6
3,18,9,13,11,12
9,16,10,14,14,8
3,6,11,13,7,6
4,4,10,10,11,8
7,5,15,11,12,8
3,7,14,13,7,9
5,9,14,17,11,12
10,8,7,14,7,6
4,5,7,17,11,7
3,7,19,18,11,10
9,6,15,17,7,10
8,4,8,15,9,10
3,6,12,15,9,7
2,4,9,16,14,7
7,6,22,14,9,11
7,12,8,12,13,7
5,8,11,16,13,6
3,5,7,18,13,12
6,7,21,20,9,10
4,8,7,21,8,7
4,6,15,20,11,12
8,8,19,12,8,9
5,11,17,23,12,11
7,9,10,18,14,11
7,10,21,19,9,9
8,9,12,18,11,12
2,7,14,19,14,8
4,12,12,20,10,7
8,8,7,8,13,7
7,9,10,20,13,12
2,6,6,15,10,8
4,6,13,27,7,10
3,7,12,14,14,7
7,8,16,19,17,11
10,23,21,17,8,8
4,19,14,11,15,12
6,24,17,15,18,18
5,16,14,8,17,15
6,24,20,17,14,10
3,21,17,9,14,9
5,19,15,18,13,12
2,9,14,14,17,8
5,6,9,16,16,11
4,18,15,20,10,9
8,10,22,14,17,10
5,6,18,18,8,13
7,23,15,9,13,14
6,14,8,18,7,16
10,10,13,11,17,15
9,18,17,11,11,19
15,24,12,17,17,8
6,9,9,8,15,12
5,23,10,14,11,8
13,9,19,21,14,10
9,19,8,12,15,9
8,10,16,12,10,11
40,17,6,21,7,8
5,15,15,14,11,9
10,15,8,16,13,8
11,20,6,10,7,19
8,14,15,13,9,17
6,9,11,14,14,16
36,23,14,20,14,13
6,18,6,8,13,9
10,6,6,17,14,18
22,6,9,14,16,17
7,6,6,21,7,7
6,13,12,15,10,10
32,16,9,14,8,10
10,21,10,13,7,11
9,19,15,8,8,12
12,17,10,10,11,8
5,17,15,20,16,16
4,19,12,10,7,13
13,15,10,18,14,19
6,19,7,12,14,16
2,20,14,12,14,10
35,21,13,14,12,12
4,10,11,14,16,11
7,12,15,18,10,15
30,17,14,8,11,8
6,16,6,8,10,16
8,19,13,10,11,13
13,11,15,9,10,17
5,14,11,12,8,16
2,16,7,18,11,15
18,15,8,14,15,19
7,21,11,17,10,18
9,17,9,13,12,11
32,15,13,15,9,11
7,12,13,18,10,12
2,21,8,10,13,11
14,21,10,7,8,13
9,16,14,7,7,19
10,8,8,6,13,16
40,9,11,18,8,17
8,11,12,9,15,9
8,9,8,18,10,18
8,8,12,9,8,12
7,7,15,11,10,19
5,12,14,7,14,16
20,7,14,6,15,14
8,11,12,17,8,9
7,9,9,10,9,12
14,12,10,13,7,14
5,9,8,18,15,16
7,11,25,8,13,10
22,6,11,7,12,18
7,12,12,14,8,9
6,12,27,15,8,8
19,7,31,14,11,12
5,10,22,6,12,14
6,11,14,11,9,13
34,11,27,16,14,11
9,12,16,10,9,17
4,12,26,8,11,11
20,12,30,10,11,8
4,12,15,16,10,15
4,6,17,15,13,12
21,12,9,15,10,7
5,9,20,7,8,10
7,10,29,14,8,12
22,11,19,15,9,15
10,12,7,16,13,8
5,9,11,11,8,12
37,9,12,16,18,12
7,9,6,14,19,9
4,9,11,12,18,15
11,9,12,9,17,16
6,12,12,14,15,11
8,6,4,14,8,15
10,10,13,11,18,14
8,9,9,16,17,17
7,8,9,9,8,8
9,7,9,8,15,16
9,11,13,15,15,13
7,12,14,16,19,12
39,12,10,12,13,12
4,7,10,9,9,7
4,6,17,16,17,15
23,11,14,15,8,15
9,10,15,7,13,12
